fips_code,county,dem_2012,gop_2012,dem_2016,gop_2016,BachelorRate2012,BachelorRate2016,MedianIncome2012,MedianIncome2016,POP_ESTIMATE_2012,POP_ESTIMATE_2016,Economic_typology_2015,N_POP_CHG_2016,INTERNATIONAL_MIG_2016,DOMESTIC_MIG_2016,NET_MIG_2016,GQ_ESTIMATES_2016,Civilian_labor_force_2012,Civilian_labor_force_2016,Unemployment_rate_2012,Unemployment_rate_2016,Employed_2016,Urban_influence_code_2013
26041,Delta County,8330,9533,6431,11112,0.18,0.215,"42,116","43,835",36835,36200,3,0.00238142,0.001223086,-0.000406393,0.000816692,0.024508787,17505,17124,0.099,0.065,0.934653118,8
48295,Lipscomb County,119,1044,135,1159,0.211,0.195,"51,003","54,180",3447,3499,2,0.007313276,0.00041635,0.004815177,0.005231527,0.008236487,1758,1652,0.039,0.044,0.955811138,12
1127,Walker County,6551,21633,4486,24208,0.107,0.116,"36,600","39,511",66096,64548,0,0.022709328,0.001068788,0.020172161,0.021240949,0.010952665,26574,25607,0.092,0.074,0.925762487,1
48389,Reeves County,1649,1185,1659,1417,0.106,0.108,"34,431","40,092",13987,15122,2,-0.018397304,0.000774623,-0.019094465,-0.018319842,0.115302684,5345,6036,0.068,0.053,0.946984758,8
56017,Hot Springs County,523,1894,400,1939,0.195,0.231,"42,596","46,024",4829,4654,0,0.000620128,0.000708717,-0.001461729,-0.000753012,0.097492913,2578,2427,0.047,0.048,0.951792336,9
20043,Doniphan County,885,2397,584,2601,0.176,0.193,"44,524","47,320",7890,7712,0,-8.69E-05,0.000730219,-0.001756003,-0.001025784,0.008501834,4392,4274,0.063,0.039,0.961394478,2
37183,Wake County,286939,232933,298353,193607,0.483,0.518,"64,107","76,173",951894,1048381,0,-0.001830267,-9.63E-05,-0.002986225,-0.003082555,0.166457952,502454,556722,0.071,0.043,0.957044988,1
37147,Pitt County,40701,35534,40967,35191,0.288,0.318,"39,343","45,918",172969,177232,4,-0.007339358,0.001547756,-0.007688851,-0.006141095,0.016625892,87721,88214,0.091,0.056,0.944305892,2
48497,Wise County,3219,17178,3412,20655,0.159,0.175,"53,927","57,609",60414,64466,2,-0.004503643,0.000652072,-0.004373229,-0.003721157,0.023996244,28255,29439,0.065,0.047,0.952783722,1
21207,Russell County,1445,6346,1093,6863,0.12,0.129,"28,174","33,490",17641,17767,3,-0.006988244,0.000769891,-0.006188742,-0.00541885,0.013561932,7224,6136,0.103,0.085,0.915254237,10
5053,Grant County,1467,4829,1407,5160,0.153,0.183,"47,421","54,411",18036,18059,0,0.001435444,0,0.005470205,0.005470205,0.011250776,8425,8275,0.068,0.036,0.963987915,2
31147,Richardson County,1180,2407,798,2684,0.217,0.182,"39,760","45,256",8283,7999,1,0.00407782,0.001799708,0.001047931,0.00284764,0.00895298,4408,4233,0.051,0.032,0.967871486,11
47123,Monroe County,4368,11717,3184,13361,0.112,0.128,"37,850","38,265",45094,45879,3,-0.014100697,-7.66E-05,-0.011341865,-0.0114185,0.009885815,19478,19370,0.099,0.053,0.947392876,6
36059,Nassau County,243649,212882,307326,275479,0.423,0.452,"92,543","105,486",1349723,1356463,0,-0.014538585,-8.21E-05,-0.014292168,-0.014374307,0.011499446,693607,699134,0.07,0.039,0.960935958,1
1011,Bullock County,4058,1250,3530,1139,0.141,0.133,"25,854","34,278",10607,10381,3,-0.001493317,-7.47E-05,0.001717315,0.001642649,0.019039797,4736,4833,0.104,0.068,0.931719429,6
42057,Fulton County,1297,4780,904,5676,0.127,0.134,"46,848","47,450",14701,14492,3,-0.004308894,-0.000538612,-0.000807918,-0.001346529,0.011984111,7442,7303,0.092,0.063,0.936875257,7
20031,Coffey County,884,2860,719,2990,0.197,0.229,"50,826","57,224",8468,8333,0,0.003773585,0.001016717,-9.78E-05,0.000918956,0.010636426,4519,4283,0.07,0.062,0.938127481,6
31151,Saline County,2232,2518,1630,2849,0.143,0.143,"48,762","51,222",14423,14227,3,-5.52E-05,0.000239116,0.00099325,0.001232365,0.008718524,7364,7343,0.043,0.031,0.969222389,6
31035,Clay County,662,2213,470,2373,0.175,0.184,"48,370","51,712",6383,6137,1,-0.014318854,8.00E-05,-0.012079034,-0.01199904,0.003599712,3486,3319,0.037,0.031,0.968966556,7
28033,DeSoto County,20979,42399,19892,42155,0.217,0.241,"55,011","64,138",166421,175709,0,-0.010345465,0.001755034,-0.005819324,-0.00406429,0.023646776,83109,87410,0.065,0.042,0.957968196,1
22061,Lincoln Parish,7947,10731,7102,10761,0.346,0.365,"36,147","39,158",47026,47484,4,-0.004520892,-2.68E-05,-0.00318335,-0.003210101,0.015381735,19485,21464,0.086,0.062,0.937989191,5
40129,Roger Mills County,272,1402,151,1546,0.212,0.185,"49,443","54,629",3765,3675,2,0.004668869,0.000215486,0.005099842,0.005315328,0.009481396,2107,1813,0.028,0.051,0.948703806,10
22057,Lafourche Parish,9543,28332,8423,31958,0.151,0.166,"49,464","52,220",97187,98522,0,0.008392355,0.000788299,0.00721597,0.008004269,0.012661298,45425,43292,0.053,0.063,0.937286335,2
40135,Sequoyah County,4193,9573,3061,10888,0.131,0.133,"34,195","39,629",41637,41453,0,-0.000973611,0.001257581,-0.005801099,-0.004543518,0.018883998,17245,16861,0.083,0.063,0.937370263,2
51153,Prince William County,103161,74371,83093,54065,0.381,0.401,"93,011","97,549",429665,457023,0,-0.021350893,0.000199541,-0.020028933,-0.019829392,0.02132595,228830,234613,0.053,0.037,0.963169134,1
23031,York County,61492,43879,55828,50388,0.291,0.314,"52,663","60,520",198872,202663,4,-0.000154709,0.000871999,-0.001800256,-0.000928257,0.010998439,110789,111002,0.069,0.034,0.966270878,2
23015,Lincoln County,11298,8884,10241,9727,0.323,0.327,"50,379","54,026",34156,33973,5,0.00417164,0.000701426,0.002067362,0.002768788,0.065380308,17256,16992,0.073,0.037,0.963041431,7
47025,Claiborne County,2433,7617,1831,8589,0.123,0.152,"33,022","33,437",31748,31597,0,-0.004721511,0.000320102,-0.0032277,-0.002907597,0.084533717,13333,12674,0.099,0.062,0.937983273,6
29063,DeKalb County,1194,3056,824,3540,0.109,0.153,"42,004","46,835",12787,12505,4,-0.001497341,0.000456981,-4.86E-05,0.000408366,0.020272438,5055,5091,0.059,0.044,0.956197211,2
42045,Delaware County,164805,105270,169169,106559,0.355,0.383,"60,900","67,773",560756,563490,0,-0.00833585,0.000362428,-0.005376019,-0.005013591,0.017577771,289584,294152,0.077,0.049,0.951378879,1
12119,Sumter County,19519,40644,22631,52722,0.264,0.311,"47,017","56,568",101674,121995,4,0.003569849,0.002053453,0.000505465,0.002558918,0.008592911,26860,29362,0.105,0.072,0.928444929,2
